COLLECTION_ID,FROG_ID,GOSNER_STAGE,SVL,TAIL_LENGTH,FROG_COMMENTS,ABNORMAL,BLEEDING_INJ,SKEL_AB,EYE_AB,SURF_AB,Perkensus,SITE,DATE,YEAR
KNA02-RASY-072812,50,42,18,30,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,51,44,17,22,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,53,43,17,24,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA02-RASY-072812,54,42,18,28,,0,0,0,0,0,0,KNA02,7/28/2012,2012
KNA03-RASY-080312,2,45,18,2,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,3,45,18,2,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,4,46,20,0,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,5,43,19,27,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,6,43,17,24,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,7,46,17,0,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,8,46,20,0,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,9,46,20,0,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,10,46,20,0,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,11,46,18,0,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,12,45,21,2,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,13,46,21,0,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,15,46,21,0,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,16,46,21,0,,0,0,0,0,0,0,KNA03,8/3/2012,2012
KNA03-RASY-080312,17,45,17,1,,0,0,0,0,0,0,KNA03,8/3/2012,2012
